
NOTICE: Existing SQLite export found: RI_qwen_analysis_32.sqlite
        It is assumed file was previously exported from: RI_qwen_analysis_32.nsys-rep
        Consider using --force-export=true if needed.

Processing [RI_qwen_analysis_32.sqlite] with [/tmp/nsight-systems-2024.6.2/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     36.0       1346601974     123795   10877.7    9216.0      7232     26528       3302.6  void hgemv_bf16_v3_kernel<(int)8>(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, in…
     26.4        985845137      41265   23890.6   23807.0     22655     26048        490.8  nvjet_tst_192x8_64x8_4x1_v_bz_TNT                                                                   
      9.2        343019474      41265    8312.6    8256.0      7903      9632        219.1  nvjet_tst_192x8_64x8_4x1_v_badd_TNT                                                                 
      6.6        248030813      41373    5995.0    5920.0      5632     24000        882.4  <unnamed>::qkv_norm_rope_scatter_kernel_bf16(__nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfl…
      5.4        200110111      41265    4849.4    4480.0      3520      7808        829.5  void flash_paged_decode::paged_decode_pass1_kernel<__nv_bfloat16, (int)128>(const T1 *, long, long,…
      4.6        170187379       1146  148505.6  148479.0    146528    151231        779.5  nvjet_tst_384x8_64x4_2x1_v_bz_TNT                                                                   
      4.0        149781599      81596    1835.6    1824.0      1536     14176        154.2  void fused_add_rmsnorm_bf16_kernel_cached<(int)512, (int)2560>(__nv_bfloat16 *, __nv_bfloat16 *, co…
      3.7        137842669      41265    3340.4    3616.0      1119      4832        610.0  void flash_paged_decode::paged_decode_combine_kernel<__nv_bfloat16, (int)128>(T1 *, long, long, con…
      1.9         72175727      41373    1744.5    1760.0      1664      2848         44.1  swiglu_packed_kernel_bf16x8(const __nv_bfloat16 *, __nv_bfloat16 *, int, int)                       
      1.3         47103534       1146   41102.6   40896.0     40159     42464        536.9  nvjet_tst_384x8_64x4_2x1_v_badd_TNT                                                                 
      0.2          6605467       2299    2873.2    2816.0      2656      3648        109.6  void <unnamed>::rmsnorm_half_kernel<__nv_bfloat16>(T1 *, const T1 *, const T1 *, int, int, long lon…
      0.1          4290086        108   39723.0   39728.0     38816     40896        501.2  void flash_attn_paged_prefill::flash_attn_paged_ragged_kernel<flash_attn_paged_prefill::KTraits<__n…
      0.1          4031625       1149    3508.8    3487.0      3200      4575        162.1  argmax_phase1_bf162(const __nv_bfloat16 *, const int *, int, int, __nv_bfloat16 *)                  
      0.1          3932353        540    7282.1    7424.0      5760      8256        536.7  nvjet_tst_64x8_64x16_4x1_v_badd_TNT                                                                 
      0.1          2682834        108   24841.1   24800.0     24096     25952        435.6  nvjet_tst_192x24_64x7_4x1_v_bz_TNT                                                                  
      0.1          2483155       1146    2166.8    2144.0      1920      3104        167.2  merge_compact_decode_kernel(int *, const int *, const int *, const int *, const int *, const int *,…
      0.1          2391471       1149    2081.3    2048.0      1952      2944         97.1  argmax_phase2_bf16_hge(int, int *, const __nv_bfloat16 *)                                           
      0.1          2128083       1149    1852.1    1760.0      1727      2592        140.7  bf16_inplace_vec8_add_kernel(float4 *, const float4 *, int)                                         
