
 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls  Avg (ns)   Med (ns)  Min (ns)  Max (ns)  StdDev (ns)               Name              
 --------  ---------------  ---------  ---------  --------  --------  --------  -----------  -------------------------------
     74.6      32210878534      17697  1820132.1   14695.0      3613  13640048    1838014.8  cudaEventSynchronize           
     18.9       8176177918      10390   786927.6  858602.5     21309  18589304     518130.2  cudaGraphLaunch_v10000         
      2.2        956801173      79652    12012.3    9056.0      3453   2083099      12638.9  cudaMemcpyAsync                
      1.9        830398851      78419    10589.3    8119.0      4762   7982671      43456.2  cudaLaunchKernel               
      0.8        331625818      17684    18752.9    1485.0       336  16447800     280816.5  cudaEventDestroy               
      0.4        164852383      17684     9322.1   10017.5      5569   1302282      12936.8  cudaMemsetAsync                
      0.3        132047369      17744     7441.8    7005.0      1494  10586316      99373.0  cudaEventRecordWithFlags_v11010
      0.3        114324244      17696     6460.5    6590.0      3510    708757       5611.4  cudaEventRecord                
      0.2         87138768       8842     9855.1    9501.0      7507    506786       6484.9  cuLaunchKernelEx               
      0.2         69260263      17003     4073.4    4197.0       918     19863       2359.1  cudaEventQuery                 
      0.1         38550304      17684     2180.0    2458.0       839    614243       5149.7  cudaEventCreateWithFlags       
      0.1         35332736      36976      955.6    1121.0       207     15549        628.8  cudaStreamIsCapturing_v10000   
      0.1         30442757       8842     3443.0    3395.0      2674     17718        470.2  cudaStreamWaitEvent            
      0.0          7656852       1548     4946.3    4632.0      4014     21189       1196.1  cudaLaunchKernelExC_v11060     
      0.0          7165966      17684      405.2     471.0       125     13188        251.2  cuKernelGetAttribute           
      0.0          1660470       7740      214.5     179.0       153      3054        131.8  cuTensorMapEncodeTiled         
      0.0            45784         92      497.7     396.0       195      4324        478.2  cudaGetDevice                  
      0.0            19819         37      535.6     237.0       173      7417       1211.7  cuDevicePrimaryCtxGetState     
      0.0             1651          3      550.3     660.0       278       713        237.3  cudaGetLastError               
