
 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     30.3       9327209705     316748   29446.8   29408.0     27488     31871        594.0  nvjet_tst_192x8_64x8_4x1_v_bz_TNT                                                                   
     15.6       4809516112     316747   15184.1   15072.0     14591     17024        360.8  nvjet_tst_128x8_64x12_4x1_v_bz_splitK_TNT                                                           
     11.4       3493066297     316748   11027.9   11104.0     10080     12960        443.7  nvjet_tst_64x8_64x16_4x1_v_bz_TNT                                                                   
     10.2       3141689006     316820    9916.3    9824.0      8448     14080        556.6  void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMa…
      8.4       2576395501     316748    8133.9    8096.0      7584     10176        262.6  nvjet_tst_64x8_64x16_4x1_v_bz_splitK_TNT                                                            
      5.3       1634002567       8841  184821.0  184799.0    181632    188640       1060.4  nvjet_tst_384x8_64x4_2x1_v_bz_TNT                                                                   
      3.8       1181754899     636591    1856.4    1856.0      1695      2976         81.1  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat1…
      2.7        843702345     318296    2650.7    2624.0      1311      6944        441.2  void cutlass::device_kernel<flash::FlashAttnFwdCombine<cute::tuple<cute::C<(int)8>, cute::C<(int)12…
      2.3        697429600     318296    2191.1    2176.0      1856      3616        107.6  void vllm::reshape_and_cache_flash_kernel<__nv_bfloat16, __nv_bfloat16, (vllm::Fp8KVCacheDataType)0…
      2.2        666694661     318295    2094.6    2080.0      1856      3136        108.2  triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_2                                                  
      2.0        621553817     318296    1952.8    1920.0      1696      3072        118.5  triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0                                                  
      1.7        529340780     309454    1710.6    1696.0      1504      2912        112.1  triton_poi_fused_4                                                                                  
      1.4        415857508     318295    1306.5    1312.0      1152      2432         66.5  triton_poi_fused_mul_silu_slice_1                                                                   
      1.3        407792973     309454    1317.8    1312.0      1184      2240         53.5  triton_red_fused_3                                                                                  
      0.3         80244174       8841    9076.4    9088.0      8224     10624        395.2  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<…
      0.1         37667355       8841    4260.5    4192.0      3936      5984        240.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.1         28621267       8842    3237.0    3200.0      2784      4544        183.5  triton_red_fused__to_copy_add_embedding_mean_mul_pow_rsqrt_0                                        
      0.1         21609468        720   30013.2   29856.0     28959     32160        642.6  nvjet_tst_192x32_64x7_4x1_v_bz_TNT                                                                  
      0.1         20600540       8842    2329.9    2368.0      2080      3200        119.7  void flash::prepare_varlen_num_blocks_kernel<(int)1, (bool)0>(int, int, int, const int *, const int…
      0.1         19218260       1476   13020.5   12960.0     11808     15200        421.2  void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMa…
