
 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls    Avg (ns)       Med (ns)      Min (ns)     Max (ns)    StdDev (ns)           Name         
 --------  ---------------  ---------  -------------  -------------  -----------  -----------  -----------  ----------------------
     37.9     395002463430      48229      8190144.2      4428408.0         1026   4212979504   59161136.8  epoll_wait            
     31.0     322356704102      41152      7833318.0        88708.5         1026   1000290023   39876235.9  pthread_cond_timedwait
      9.0      93527195566      17718      5278654.2      2480518.0        15456   4210251266   75959897.9  sem_wait              
      7.7      80001963384          8  10000245423.0  10000115498.5  10000074923  10000907095     285283.4  sem_timedwait         
      7.7      79873691697      67093      1190492.2         1296.0          999   4212047972   34450545.1  poll                  
      6.6      68262838555      27256      2504506.8         2184.0         1000   1001737437   38545951.2  epoll_pwait           
      0.1        764547983      39460        19375.3         8680.0         1011      3134422      30737.6  write                 
      0.0        466049772       5672        82166.7        18699.5         1000    154977579    2059044.3  pthread_mutex_lock    
      0.0        389288677        574       678203.3       290757.0         1088     16431098    1482984.6  pthread_rwlock_wrlock 
      0.0        140883098       8931        15774.6        13541.0         2076      1509922      41091.9  recv                  
      0.0        131745402      37069         3554.1         2343.0         1000       393780      11193.0  pthread_cond_signal   
      0.0        122246558       8925        13697.1        15923.0         1388       211274       6867.8  send                  
      0.0         85733619        142       603757.9       104604.0         8020     11209024    1861274.4  ioctl                 
      0.0         78702845      16125         4880.8         4856.0         1004        25887       1012.0  read                  
      0.0         39457426        131       301201.7       240480.0         1070      3377740     410598.0  pthread_rwlock_rdlock 
      0.0         28278289      12516         2259.4         3162.0          999        23663       1183.9  epoll_ctl             
      0.0         14141669       1548         9135.4         3817.5         3067       404533      33583.1  munmap                
      0.0          5205173       1548         3362.5         2635.5         2181        77679       4060.7  mmap64                
      0.0          3441145         85        40484.1        28302.0        11931        88457      22079.3  writev                
      0.0           189962          9        21106.9        20360.0        19859        23727       1510.9  accept4               
      0.0           132547         20         6627.4         3045.0         1032        44551       9829.3  pthread_cond_broadcast
